Tm,Player,,Yr,Rnd,Pk,Tm,Current Team,Country
ATL,Alpha Kaba,,2017,2,60,ATL,Lyon-Villeurbanne,France
ATL,Isaia Cordinier,,2016,2,44,ATL,Antibes,France
ATL,Dimitrios Agravanis,,2015,2,59,ATL,Olympiacos,Greece
ATL,Marcus Eriksson,,2015,2,50,ATL,Barcelona,Spain
BRK,Aleksandar Vezenkov,,2017,2,57,BRK,FC Barcelona Lassa,Spain
BRK,Juan Pablo Vaulet,,2015,2,39,CHO,Bahia,Argentina
CHI,Ater Majok,,2011,2,58,LAL,Trefl Sopot,Poland
CHI,Tadija Dragicevic,,2008,2,53,UTA,Buducnost,Montenegro
CHI,Milovan Rakovic,,2007,2,60,DAL,Turk Telekom,Turkey
CHI,Albert Miralles,,2004,2,39,TOR,Joventut de Badalona,Spain
CLE,Sir'Dominic Pointer,,2015,2,53,CLE,Hapoel Eilat,Israel
CLE,Ilkan Karaman,,2012,2,57,NJN,Acibadem,Turkey
CLE,Chukwudiebere Maduabum,,2011,2,56,LAL,Pyrinto,Finland
CLE,Milan Macvan,,2011,2,54,CLE,EA7 Milano,Italy
CLE,Sergiy Gladyr,,2009,2,49,ATL,Monaco,France
CLE,Vladimir Veremeenko,,2006,2,48,WAS,Reggio Emilia,Italy
CLE,Edin Bavcic,,2006,2,56,TOR,Sopron,Hungary
DAL,Satnam Singh,,2015,2,52,DAL,Texas Legends,United States
DAL,Petteri Koponen,,2007,1,30,PHI,Khimki,Russia
DAL,Stanko Barac,,2007,2,39,MIA,EA7 Armani,Italy
DAL,Renaldas Seibutis,,2007,2,50,DAL,Zalgiris,Lithuania
DEN,Vlatko Cancar,,2017,2,49,DEN,Mega Bemax,Serbia
DEN,Petr Cornelie,,2016,2,53,DEN,Le Mans,France
DEN,Nikola Radicevic,,2015,2,57,DEN,Sevilla,Spain
DEN,Izzet Turkyilmaz,,2012,2,50,DEN,Galatasary,Turkey
HOU,Isaiah Hartenstein,,2017,2,43,HOU,Å½algiris Kaunas,Lithuania
HOU,Alessandro Gentile,,2014,2,53,MIN,Emporio Armani Milano,Italy
HOU,Marko Todorovic,,2013,2,45,POR,Khimki,Russia
HOU,Jon Diebler,,2011,2,51,POR,Anadolu Efes,Turkey
HOU,Sergio Llull,,2009,2,34,DEN,Real Madrid,Spain
HOU,Axel Hervelle,,2005,2,52,DEN,Bilbao Basket,Spain
HOU,Sergei Lishouk,,2004,2,49,MEM,Murcia,Spain
LAC,David Michineau,,2016,2,39,NOP,Hyeres-Toulon Var Basket,France
LAC,Maarty Leunen,,2008,2,54,HOU,Avellino,Italy
LAL,Chinemelu Elonu,,2009,2,59,LAL,Besiktas,Turkey
LAL,Brad Newley,,2007,2,54,HOU,Gran Canaria,Spain
MEM,Wang Zhelin,,2016,2,57,MEM,Fujian Sturgeons,China
MIN,Bojan Dubljevic,,2013,2,59,MIN,Valencia Basket,Spain
MIN,Paulao Prestes,,2010,2,45,MIN,Mogi das Cruzes,Brazil
MIN,Henk Norel,,2009,2,47,MIN,CAI Zaragoza,Spain
MIN,Lior Eliyahu,,2006,2,44,ORL,Hapoel Jerusalem,Israel
NOP,Latavious Williams,,2010,2,48,MIA,Unics Kazan,Russia
NYK,Ognjen Jaramaz,,2017,2,58,NYK,Mega Bemax,Serbia
NYK,Louis Labeyrie,,2014,2,57,IND,Paris-Levallois,France
OKC,Yotam Halperin,,2006,2,53,SEA,Hapoel Jerusalem,Israel
OKC,Sofoklis Schortsanitis,,2003,2,34,LAC,PAOK,Greece
OKC,Szymon Szewczyk,,2003,2,35,MIL,Stelmet Zielona,Poland
OKC,Paccelis Morlende,,2003,2,50,PHI,Nantes,France
ORL,Tyler Harvey,,2015,2,51,ORL,Auxilium Pallacanestro Torino,Italy
ORL,Janis Timma,,2013,2,60,MEM,Zenit,Russia
ORL,Fran Vazquez,,2005,1,11,ORL,Unicaja Malaga,Spain
PHI,Anzejs Pasecniks,,2017,1,25,ORL,Herbalife Gran Canaria,Spain
PHI,Jonah Bolden,,2017,2,36,PHI,Maccabi FOX Tel Aviv,Israel
PHI,Mathias Lessort,,2017,2,50,PHI,Crvena Zvezda,Serbia
PHI,Vasilije Micic,,2014,2,52,PHI,Tofas Bursa,Turkey
PHO,Cenk Akyol,,2005,2,59,ATL,Besiktas,Turkey
POR,Dani Diez,,2015,2,54,UTA,Unicaja,Spain
SAC,Arturas Gudaitis,,2015,2,47,PHI,Lietuvos Rytas,Lithuania
SAC,Luka Mitrovic,,2015,2,60,PHI,Crvena Zvezda,Serbia
SAC,Alex Oriakhi,,2013,2,57,PHO,Socar Petkim,Turkey
SAS,Jaron Blossomgame,,2017,2,59,SAS,Austin Spurs,United States
SAS,Nikola Milutinov,,2015,1,26,SAS,Olympiacos,Greece
SAS,Olivier Hanlan,,2015,2,42,UTA,Le Mans Sarthe,France
SAS,Cady Lalanne,,2015,2,55,SAS,Zhejiang Banks,China
SAS,Nemanja Dangubic,,2014,2,54,PHI,Crvena Zvezda,Serbia
SAS,Adam Hanga,,2011,2,59,SAS,Laboral Kutxa,Spain
SAS,Giorgos Printezis,,2007,2,58,SAS,Olympiacos Piraeus,Greece
SAS,Erazem Lorbek,,2005,2,46,IND,FC Barcelona B,Spain
SAS,Viktor Sanikidze,,2004,2,42,ATL,TED Kolejliler,Turkey
SAS,Sergei Karaulov,,2004,2,57,SAS,Temp-Sumz,Russia
TOR,Emir Preldzic,,2009,2,57,PHO,Darussafaka,Turkey
UTA,Nigel Williams-Goss,,2017,2,55,UTA,Partizan NIS,Serbia
UTA,Ante Tomic,,2008,2,44,UTA,FC Barcelona,Spain
WAS,Aaron White,,2015,2,49,WAS,Telekom Bonn,Germany